沙塘,*,aa,ng|m,*,ɑ,*
沙塘,*,iaa,ng,*,iɑ,*
沙塘,*,ea,ng|m,*,ɤ,*
鬱林,*,oe,n,*,øɐ̯,*
鬱林,*,y,ng,*,ø,*
鬱林,*,y,k,*,ø,*
鬱林,*,oe,k,*,œɐ̯,*
鬱林,z,e,,*,ⁱᴇ,*
鬱林,c,e,,*,ⁱᴇ,*
鬱林,s,e,,*,ⁱᴇ,*
鬱林,*,e,,*,ɛ,*
鬱林,*,ei,,*,ei,*
鬱林,*,ee,n,*,ɛ,*
鬱林,*,i,ng,*,e,*
鬱林,*,i,k,*,e,*
鬱林,*,eo,,*,ö̜,*
鬱林,*,eou,,*,ɵ̜u,*
鬱林,*,ea,t,*,ə,*
鬱林,*,eu,,*,ᴇɐ̯u,*
鬱林,*,e,n,*,ᴇɐ̯,*
鬱林,*,e,m,*,ᴇɐ̯,*
鬱林,*,e,ng,*,ᴇɐ̯,*
鬱林,*,e,t,*,ᴇɐ̯,*
鬱林,*,e,p,*,ᴇɐ̯,*
鬱林,*,e,k,*,ᴇɐ̯,*
鬱林,*,ii,k,*,i,*
鬱林,*,u,ng,*,o,*
鬱林,*,u,k,*,o,*
鬱林,*,o,m,*,ɔ,*
鬱林,*,o,p,*,ɔ,*
貴港,*,eo,,*,ø,*
貴港,*,eo,k,*,ø,*
新會,*,io,k|ng,*,iø,*
新會,*,aa,*,*,ɑ,*
新會,*,eu,*,*,ɜu,*
新會,*,e,t|p|n|m,*,ɜ,*
新會,*,e,k|ng,*,ə,*
蒙山,*,e,*,*,eɐ,*
蒙山,*,eau,,*,ɤu,
蒙山,*,iea,k|ng,*,iɤ,*
蒙山,*,ea,k|ng|p|m,*,ɤ,*
蒙山,*,o,k|ng,*,ʊɑ,*
蒙山,*,oi,,*,ɔªi,*
蒙山,*,o,t|n,*,ɔª,*
化州,*,oau,,*,ɔ̯ɒu,*
化州,*,e,*,*,e̯ɛ,*
化州,*,eu,,*,e̯ɛu,*
化州,*,ei,,*,ɛi,*
化州,*,ou,,*,ɔu,*
化州,*,i,k|ng,*,e,*
化州,*,u,k|ng,*,u,*
端州,*,ei,,*,ɪi,*
端州,*,ou,,*,ʊu,*
高州,*,eu,,*,iau,*
高州,*,e,k|p|ng|m,*,ia,*
高州,*,e,t|n,*,iɛ,*
高州,kw,o,*,*,*,*
高州,gw,o,*,*,*,*
高州,w,o,*,*,ɔ,*
高州,*,o,*,*,o̯ɔ,*
高州石鼓,*,eu,,*,iau,*
高州石鼓,*,e,k|p|ng|m,*,ia,*
高州石鼓,*,e,t|n,*,iɛ,*
高州石鼓,kw,o,*,*,ɔ,*
高州石鼓,gw,o,*,*,ɔ,*
高州石鼓,w,o,*,*,ɔ,*
高州石鼓,*,o,*,*,o̯ɔ,*
梧州扶典,*,ei,,*,ɛᵉ,*
梧州扶典,*,oi,,*,ɔɪ,*
梧州扶典,*,eo,,*,ø,*
梧州扶典,*,ae,,*,æᵋ,*
湛江坡頭,*,oi,,*,oɐi,*
湛江坡頭,*,oau,,*,oɐu,*
湛江坡頭,*,o,ng|h|m|p,*,oɐ,*
吳川吳陽,*,oi,,*,oɐi,*
吳川吳陽,*,oau,,*,oɐu,*
吳川吳陽,*,o,ng|h|m|p,*,oɐ,*
開平馬岡,j,*,*,ʑ,*,*
開平馬岡,*,e,*,*,e,*
開平馬岡,*,i,ng|k,*,eɪ,*
開平馬岡,*,u,*,*,ɯ,*
開平馬岡,*,ui,*,*,ɯɪ,*
開平馬岡,*,iu,*,*,ɪɯ,*
開平馬岡,*,eoi,,*,ɵʏ,*
1,,ng,,,ŋ̍,
1,h,ng,,h,ŋ̍,
1,,m,,,m̩,
1,,n,,,n̍,
1,,*,*,ʔ,*,*
0,v,*,*,ʋ,*,*
0,*,o,m,*,o,*
0,*,o,p,*,o,*
0,*,ei,,*,ei,*
0,*,ou,,*,ou,*
0,*,i,h|k|ng,*,ɪ,*
0,*,u,h|k|ng,*,ʊ,*
0,*,ii,h|k|ng,*,i,*
0,*,uu,h|k|ng,*,u,*
sh,z,*,*,ʧ,*,*
sh,c,*,*,ʧʰ,*,*
sh,s,*,*,ʃ,*,*
sj,z,*,*,tɕ,*,*
sj,c,*,*,tɕʰ,*,*
sj,s,*,*,ɕ,*,*
